Key,Id,English(en),Korean(ko)
NotClear,,???,???
NotClear_Description,,???,???
0,9.63702E+12,Achievement 0,도전과제 0
0_Description,9.86459E+12,Achievement 0 Description,도전과제 0 설명
1,9.86459E+12,Achievement 1,도전과제 1
1_Description,9.86459E+12,Achievement 1 Description,도전과제 1 설명
2,9.86459E+12,Achievement 2,도전과제 2
2_Description,9.86459E+12,Achievement 2 Description,도전과제 2 설명
3,9.86459E+12,Achievement 3,도전과제 3
3_Description,9.86459E+12,Achievement 3 Description,도전과제 3 설명
4,9.86459E+12,Achievement 4,도전과제 4
4_Description,9.86459E+12,Achievement 4 Description,도전과제 4 설명
5,9.86459E+12,Achievement 5,도전과제 5
5_Description,9.86459E+12,Achievement 5 Description,도전과제 5 설명
6,9.86459E+12,Achievement 6,도전과제 6
6_Description,9.86459E+12,Achievement 6 Description,도전과제 6 설명
7,9.86459E+12,Achievement 7,도전과제 7
7_Description,9.86459E+12,Achievement 7 Description,도전과제 7 설명
8,9.86459E+12,Achievement 8,도전과제 8
8_Description,9.86459E+12,Achievement 8 Description,도전과제 8 설명
9,,Achievement 9,도전과제 9
9_Description,,Achievement 9 Description,도전과제 9 설명
10,,Achievement 10,도전과제 10
10_Description,,Achievement 10 Description,도전과제 10 설명
11,,Achievement 11,도전과제 11
11_Description,,Achievement 11 Description,도전과제 11 설명
12,,Achievement 12,도전과제 12
12_Description,,Achievement 12 Description,도전과제 12 설명
13,,Achievement 13,도전과제 13
13_Description,,Achievement 13 Description,도전과제 13 설명
14,,Achievement 14,도전과제 14
14_Description,,Achievement 14 Description,도전과제 14 설명
15,,Achievement 15,도전과제 15
15_Description,,Achievement 15 Description,도전과제 15 설명
16,,Achievement 16,도전과제 16
16_Description,,Achievement 16 Description,도전과제 16 설명
17,,Achievement 17,도전과제 17
17_Description,,Achievement 17 Description,도전과제 17 설명
